匕卩 卬
去卩 却
午止卩 卸
血卩 卹
谷卩 卻
又又 双
上小又 叔
耳又 取
余又 叙
半反 叛
口刀 叨
口卩 叩
口丩 叫
口八 叭
口丁 叮
口匕 叱
口十 叶
口又 叹
口力 叻
口刁 叼
口几 叽
口于 吁
口乞 吃
口幺 吆
口寸 吋
口土 吐
口乇 吒
口下 吓
口丫 吖
口马 吗
口今 吟
口犬 吠
口比 吡
口心 吣
口巴 吧
口屯 吨
口分 吩
口斤 听
口亢 吭
口允 吮
口支 吱
口引 吲
口少 吵
口內 吶
口及 吸
口欠 吹
口勿 吻
口孔 吼
口牙 呀
口厄 呃
口夫 呋
口尺 呎
口内 呐
口无 呒
口艺 呓
口太 呔
口区 呕
口历 呖
口贝 呗
口仓 呛
口乌 呜
口尼 呢
口母 呣
口令 呤
口幼 呦
口占 呫
口瓜 呱
口此 呲
口未 味
口可 呵
口奴 呶
口甲 呷
口丕 呸
口申 呻
口乎 呼
口且 咀
口匝 咂
口出 咄
口包 咆
口乍 咋
禾口 和
口永 咏
口付 咐
口打 咑
口卡 咔
口古 咕
口加 咖
口龙 咙
口冬 咚
口宁 咛
口丝 咝
口光 咣
口宅 咤
口至 咥
口夷 咦
口列 咧
口羊 咩
口米 咪
口交 咬
口吉 咭
口各 咯
口自 咱
口亥 咳
口灰 咴
口休 咻
口因 咽
口老 咾
口伊 咿
口西 哂
口共 哄
口多 哆
口圭 哇
口合 哈
口氏 哌
口向 响
口艾 哎
口艮 哏
口匡 哐
口亚 哑
口达 哒
口尧 哓
口毕 哔
口岁 哕
口华 哗
口会 哙
口朵 哚
口齐 哜
口农 哝
口牟 哞
口约 哟
口我 哦
口赤 哧
口肖 哨
口里 哩
口那 哪
口孝 哮
口孛 哱
口折 哳
口甫 哺
口亨 哼
口更 哽
口言 唁
口貝 唄
口含 唅
口夋 唆
口矣 唉
口利 唎
口希 唏
口坐 唑
口吾 唔
口彐冖又 唚
口麦 唛
口贡 唝
口劳 唠
口贝 唢
口皂 唣
口奂 唤
口即 唧
口奉 唪
口金 唫
口虎 唬
口隹 唯
口刷 唰
口昌 唱
口戾 唳
口奄 唵
口育 唷
口念 唸
口妾 唼
口垂 唾
口忽 唿
口周 啁
口肯 啃
口豖 啄
口林 啉
口阿 啊
口卒 啐
口匋 啕
口炎 啖
口叕 啜
口亞 啞
启攵 啟
口非 啡
口卑 啤
口舍 啥
口拉 啦
口责 啧
口拍 啪
口者 啫
口转 啭
口齿 啮
口罗 啰
口单 啴
口波 啵
口定 啶
口郎 啷
口肃 啸
口帝 啼
口秋 啾
口客 喀
口禺 喁
口畏 喂
口南 喃
吉吉 喆
口剌 喇
口皆 喈
口侯 喉
口咸 喊
口枼 喋
口若 喏
口音 喑
口屋 喔
口耑 喘
口彖 喙
口奐 喚
口曷 喝
口胃 喟
口宣 喧
口亮 喨
口厘 喱
口約 喲
口查 喳
口苗 喵
口贲 喷
口奎 喹
口俞 喻
口急 喼
口娄 喽
口夏 嗄
口臭 嗅
口倉 嗆
口素 嗉
口貢 嗊
口益 嗌
口朔 嗍
口馬 嗎
口害 嗐
口盍 嗑
口荅 嗒
口桑 嗓
口真 嗔
口叟 嗖
口烏 嗚
口耆 嗜
口鬲 嗝
口差 嗟
口翁 嗡
口冊司 嗣
口蚩 嗤
口皋 嗥
口索 嗦
口海 嗨
口貝 嗩
口秦 嗪
口聂 嗫
口荷 嗬
口恩 嗯
口爹 嗲
口爱 嗳
口通 嗵
口畢 嗶
口敖 嗷
口欶 嗽
口族 嗾
口啇 嘀
口戚 嘁
口既 嘅
口堇 嘆
口曹 嘈
口票 嘌
口婁 嘍
口戛 嘎
古叚 嘏
口區 嘔
口責 嘖
口虚 嘘
口得 嘚
口麻 嘛
口麥 嘜
口勒 嘞
口都 嘟
口野 嘢
口崩 嘣
口婴 嘤
口密 嘧
口華 嘩
口最 嘬
口彭 嘭
口勞 嘮
口肅 嘯
口幾 嘰
口属 嘱
口朝 嘲
口觜 嘴
口斯 嘶
口無 嘸
口尞 嘹
口喜 嘻
口單 嘽
口黑 嘿
口惡 噁
口曾 噌
口焦 噍
口壹 噎
口虛 噓
口登 噔
口菐 噗
口厥 噘
口禽 噙
口鲁 噜
口達 噠
口奥 噢
口禁 噤
口農 噥
口歲 噦
口喿 噪
口意 噫
口筮 噬
口愛 噯
口豦 噱
口會 噲
口賁 噴
口葛 噶
口頓 噸
口當 噹
口塞 噻
口辟 噼
口寧 嚀
口蒦 嚄
口需 嚅
口蒿 嚆
口赫 嚇
口豪 嚎
口疐 嚏
口察 嚓
口魯 嚕
口齒 嚙
口燕 嚥
口龍 嚨
口霍 嚯
口襄 嚷
口爵 嚼
口轉 囀
口藝 囈
口羅 囉
口蘇 囌
口屬 囑
口囊 囔
土卜 圤
土于 圩
土乞 圪
土亏 圬
土己 圮
土巳 圯
土也 地
土川 圳
土广 圹
土勿 场
土斤 圻
土及 圾
土止 址
土反 坂
土匀 均
土方 坊
土丹 坍
土欠 坎
土不 坏
土亢 坑
土夬 块
土云 坛
土历 坜
土贝 坝
土乌 坞
土文 坟
土皮 坡
土申 坤
土旦 坦
土它 坨
土甘 坩
土平 坪
土占 坫
土尼 坭
土丕 坯
土幼 坳
土母 坶
土可 坷
土氐 坻
土斥 坼
土立 垃
土龙 垅
土卢 垆
土同 垌
土亥 垓
土朵 垛
土艮 垠
土后 垢
土亘 垣
土至 垤
土向 垧
土亚 垭
土夸 垮
土达 垯
土岂 垲
土亠凶 垴
土完 垸
土更 埂
土矣 埃
土夆 埄
土甬 埇
土里 埋
土成 城
土延 埏
土寽 埒
土甫 埔
土呈 埕
土步 埗
土时 埘
土员 埙
土呙 埚
土念 埝
土或 域
土阜 埠
土亞 埡
土卑 埤
土隶 埭
土奄 埯
土奉 埲
土直 埴
土垂 埵
坴丸 埶
幸丸 執
土易 埸
土咅 培
土奇 埼
土帚 埽
土屈 堀
土隹 堆
土朋 堋
土兔 堍
土垔 堙
土枼 堞
土侯 堠
土是 堤
土甚 堪
土匽 堰
幸卩又 報
土昜 場
土者 堵
土咸 堿
土罒方 塄
土鬼 塊
土日羽 塌
月龹土 塍
土荅 塔
土翁 塕
土唐 塘
土冢 塚
土烏 塢
土鬲 塥
土真 填
土原 塬
土昜 塲
土犀 墀
土曼 墁
土竟 境
土庸 墉
土商 墒
土啬 墙
土梁 墚
土曾 增
土虚 墟
土敦 墩
土賁 墳
土嗇 墻
土亶 壇
土豪 壕
土褱 壞
土歷 壢
土襄 壤
土霸 壩
丬士 壮
爿士 壯
夕卜 外
句多 够
多句 夠
果多 夥
女又 奴
女乃 奶
女干 奸
女也 她
女乇 奼
女子 好
女勺 妁
女口 如
女己 妃
丬女 妆
女彐 妇
女马 妈
女壬 妊
